"MEASURE - US dollars at current prices in millions"

YEAR,"1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"ECONOMY",
"          Afghanistan",1731.4355868842,1812.8375210784,1647.9001781171,1702.7162941475,2061.729287453,2319.7535063746,2513.5806591439,2864.9392071198,3222.9638325446,3630.7678558334,3646.7968678221,3427.4820141794,3430.6451425519,3408.2046129214,3369.1109509166,3330.4656809911,3320.8888869251,2983.7434706497,2713.8994884123,3191.5570678679,3559.5117363114,3402.6549397152,3444.7114139982,2844.4426410285,1715.1691691928,2756.8380360034,2669.7856340923,2924.5893258179,2935.1394036821,2157.1973156162,3342.0341681008,3598.4705756239,4141.5239427459,4729.0421791688,5388.4821074583,6220.5741471279,7104.7114446396,9412.161764604,10236.9015943276,11595.1334694287,14698.8896783668,17350.6949454134,19136.499340788,19621.8024554196,19550.7025667147,18713.0484101933,18019.5581822172,18896.3520214757,18418.8482999422,18904.4902631099,19793.262412555,17878.2242096085
"          Albania",2265.577056,2330.5848598,2397.5264484,2466.5434608,2537.0158168,2610.110369,2685.7456778,2760.7463966,2842.2759258,2372.3056408241,2141.8370512857,2215.4747661429,2280.4248852857,2305.3844852857,2275.7363415714,2324.4144564286,2397.0868828571,2378.1948098571,2460.3999737646,2940.5864865862,2145.7512094865,1597.1395886707,1516.1328237264,1700.4391253699,1880.9508210308,2392.7648870789,3199.6420237498,2224.6542411746,2554.8688374995,3221.6701652437,3487.5863020203,3926.8875965172,4355.865888713,5561.4594606331,7177.030364862,8052.079314495,8896.076004050899,10677.3222202843,12881.3520581735,12044.2103901228,11926.9482844373,12890.8733229257,12319.7796042613,12776.2807377422,13228.2400788447,11386.9248527363,11861.3564511651,13019.7298556839,15156.4399678548,15400.2371551392,14909.619335122,17495.5379770726
"          Algeria",5155.120658186,5363.6761603842,7176.4283839638,9229.6221999422,13259.7646499455,15555.547082594,17750.0324876166,20990.9391404107,26373.7613869169,33201.4330092739,42252.1977410135,44264.5731219755,45094.8427702302,48702.2018626174,52827.9022592142,57866.2072793269,62922.8038682351,64333.5783218006,58655.419182498,55344.4769372648,61751.3759568184,46565.0031992313,49105.5535949112,50846.9303433423,42330.7111464954,41971.4884198819,46836.290498993,48068.4570281602,48079.0079743271,48531.0317569918,54666.896856615,55056.733057304,56819.2108909552,67863.8516260261,85332.5178165892,103198.2160673351,117027.2779393029,134977.0883964187,171000.6921347479,137211.0084208087,161207.3063047945,200019.1030129977,209059.0831179852,209755.003250664,213809.9794797694,165979.1187905398,160034.2116997204,170096.9845372316,175415.1804109062,171158.2342852931,147688.693830417,165547.655764099
"          Andorra",99.4767865094,113.1284916175,143.5060044339,190.8637921639,236.0554681597,278.5143172131,287.5883663565,321.3901368713,389.745928506,520.7423330691,564.8126571472,492.1899784869,475.6543679903,414.8367755106,417.6496891712,438.7425043081,609.8819401016,773.4934971885,912.8384743527,1006.5527177125,1302.0061842904,1400.5769153031,1531.0340348964,1274.2974090747,1287.5247662793,1491.4959882377,1548.7876429908,1493.9010875554,1533.5157816084,1568.8010320099,1429.0446619951,1546.9132669954,1755.992895718,2361.635625037,2895.0422516499,3159.8312664776,3456.261316434,3952.3952370361,4085.7836625208,3674.1862768418,3446.5656013485,3624.3862290837,3188.8303340727,3192.6030857148,3267.3344458863,2788.7577487422,2894.6461836422,3000.1602251574,3218.4194564373,3155.1493479216,2864.3994020234,3041.8600535465
"          Angola",3806.9820797195,4007.4453835108,4102.1545151586,5016.2762425035,5626.9606539329,4147.4331248373,3980.9068225872,4344.2248278628,4845.4815395414,5380.1553646634,7151.2624072465,6693.0171000735,6693.0171000735,6975.0140617688,7393.6029012635,9109.0250417809,8548.514004946899,9843.7783374557,10627.4915368674,12367.0758406311,13661.852349756,16182.9415057927,18586.0430294995,13468.1338557233,13860.715823999,6642.2292617219,8725.773842463301,10226.7906563057,8617.7877939713,8227.1900908894,12207.3545730282,11948.601235723,15285.5924874237,17812.7046262324,23552.0458503415,36970.8780786716,52381.0251052177,65266.4157069741,88538.6648881983,70307.19322093661,83799.4789298438,111789.7459681641,128052.9134376336,136709.8918973276,145712.175327652,116193.6475130861,101123.8300097269,122123.8586276642,101353.2116522339,89417.18912043799,62306.9155690799,79162.1137010641
"          Anguilla",3.9023795695,4.5898784575,5.4167474229,6.1290134371,6.7496898739,7.3714474672,7.058818175,7.8894551852,9.1032051852,10.5041785185,12.1225288889,13.9884655556,16.1424674074,18.6291559259,21.6259903704,27.1264503704,35.0645325926,43.7347751852,54.7428933333,68.1259062963,75.6017603704,77.7200907407,84.4504159259,92.1010837037,102.7698577778,103.7364744444,109.5413159259,122.6729055556,138.6375048148,147.3010633333,150.2377840741,154.9280944444,157.6292388889,170.7061040741,201.1050025926,228.9943485185,283.1037037037,354.6111111111,355.8592592593,284.3925925926,269.5185185185,293.2259259259,284.5111111111,286.1851851852,315.6740740741,330.5333333333,318.7518518519,281.0555555556,322.4555555556,376.7296296296,258.4407407407,288.147558374
"          Antigua and Barbuda",33.8658229831,41.1560571135,56.4054892466,78.3603290436,83.5295002595,85.4165913853,71.00087692450001,80.8236351852,91.5035781481,112.6824477778,134.4496196296,152.0986777778,168.5258777778,187.2610318519,211.9244592593,244.7788596296,290.4407407407,337.1740740741,398.637037037,438.7962962963,459.4703703704,481.7074074074,499.2814814815,535.1740740741,589.4296296296,577.2814814815,633.7296296296,680.6185185185,727.8592592593,766.2000000000001,783.837037037,773.7666666667,802.5296296296,839.9962962963,898.3555555556,1014.9814814815,1149.0259259259,1302.3888888889,1370.0703703704,1228.3296296296,1148.7,1137.637037037,1199.9481481481,1181.4481481481,1249.7333333333,1336.6925925926,1436.5851851852,1467.9777777778,1605.9444444444,1687.5333333333,1370.3518518519,1427.8850781406
"          Argentina",33984.5274814904,40656.2477052686,38310.4680369017,43140.6307527123,48535.0843220575,51660.3896900574,54697.5572570404,61570.2569111456,63778.2022281117,73916.29716114111,81764.3695189718,84652.8065741505,87041.46617478129,94170.3422100523,99524.448939895,95529.91065271541,114734.8427677402,117919.3380274357,137512.093210354,83044.4586520204,153185.7232023756,205589.5213241194,247929.4197733791,256573.074883106,279266.9924074708,279701.4253713429,295030.7686114064,317532.5790125062,324135.1047383691,307410.16202001,308148.2334667334,291334.7182721361,110583.5903174942,140444.1396754438,165947.7504292533,200622.2059371672,234391.2341674182,289755.1427068235,365644.3766499963,336359.3896162795,426487.4348744827,530158.1766815742,581430.9043926756,613316.0273569436,567050.1453432919,644903.2004985957,557532.3173658905,643628.3961909314,517626.8539473963,445445.2545561233,383067.1586727277,480679.3290676436
"          Armenia","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",1251.9763426525,1168.7281744792,1257.2752446389,1372.0970334961,1703.0376050179,1747.5149925029,2017.8528857768,1968.0578346241,2038.5348028229,2259.1082082393,2534.1633105711,2993.5503932101,3814.1766936309,5225.9718495027,6808.5247175255,9817.806812332001,12436.6641852499,9222.356746338301,9875.3777790849,10815.7776106523,10619.3206928087,11121.464429703,11609.5132410754,10553.3375277745,10546.1362403952,11527.4587126186,12457.9407053088,13619.2905458131,12641.2108725648,13800.9245385563
